bromeliad_id,day,height_cm,width_cm,actual_volume_mL,water_holding_capacity_mL,loose_det_g,coarse_det_g,fine_det_g,predator,resource,v_final_mL,prop_loss_coarse_normal,prop_loss_fine_normal,prop_loss_coarse_dry,prop_loss_fine_dry,country,site,bromspecies,distance_from_ground_cm,longest_leaf_length_mm
B1,28/03/2022,19.7,69.5,270,NA,6.36,0,0.35,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B2,29/03/2022,24.4,65.3,260,NA,3.93,0.2,0.42,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B3,29/03/2022,13.8,127.1,300,NA,9.27,0.31,1.19,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B4,29/03/2022,20.2,98.3,290,NA,9.47,0.17,0.98,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B5,29/03/2022,13.2,96.1,290,NA,7.21,0.3,1.02,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B6,29/03/2022,16.2,110.8,200,NA,2.17,0.19,0.62,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B7,29/03/2022,53.1,148.5,5065,NA,35.47,3.15,2.38,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B8,30/03/2022,25.6,64.2,375,NA,8.04,0.93,2.73,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B9,30/03/2022,22.9,93.4,155,NA,1.31,0.17,0.91,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B10,30/03/2022,17.2,101.3,210,NA,4.73,0.16,0.47,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B11,30/03/2022,19.7,69.8,475,NA,0,0,0.55,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B12,30/03/2022,15.6,58.7,445,NA,0,0.11,0.64,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B13,30/03/2022,17,110,770,NA,0,0,0.03,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B14,30/03/2022,15.3,62.5,250,NA,0,0,0.08,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B15,30/03/2022,18.5,80.5,415,NA,1.7,0.33,0.78,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B16,30/03/2022,17.8,81.6,215,NA,3.49,0.45,0.97,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
B17,30/03/2022,24.2,110,165,NA,3.27,0.21,1.01,NA,NA,NA,NA,NA,NA,NA,bras,regua,alcantarea_imperialis,0,NA
E1,NA,19.4,55.9,NA,345,NA,NA,NA,present,enriched,75,0.20833333333333337,0.22336769759450184,0.71875,0.7319587628865979,bras,regua,alcantarea_imperialis,0,NA
E2,NA,19.5,48.1,NA,400,NA,NA,NA,present,enriched,90,0.08532423208191126,0.14864864864864863,0.7235494880546075,0.6925675675675675,bras,regua,alcantarea_imperialis,0,NA
E3,NA,19.6,48,NA,345,NA,NA,NA,present,enriched,135,0.07604562737642576,0.07169811320754715,0.7034220532319392,0.720754716981132,bras,regua,alcantarea_imperialis,0,NA
E4,NA,19.2,50.2,NA,340,NA,NA,NA,present,enriched,130,0.2727272727272727,0.13194444444444442,0.7272727272727273,0.704861111111111,bras,regua,alcantarea_imperialis,0,NA
E5,NA,19.1,55.6,NA,245,NA,NA,NA,present,enriched,140,0.04577464788732391,0.10652920962199314,0.7183098591549296,0.7285223367697594,bras,regua,alcantarea_imperialis,0,NA
E6,NA,21.4,52.3,NA,560,NA,NA,NA,present,enriched,150,0.25,0.04545454545454549,0.7676056338028169,0.6893939393939394,bras,regua,alcantarea_imperialis,0,NA
E7,NA,19.4,57.2,NA,225,NA,NA,NA,present,enriched,NA,0.3019607843137254,0.5434782608695652,0.7137254901960784,0.7826086956521738,bras,regua,alcantarea_imperialis,0,NA
E8,NA,27.4,40.7,NA,225,NA,NA,NA,present,enriched,115,0.04444444444444448,0.008196721311475417,0.7,0.680327868852459,bras,regua,alcantarea_imperialis,0,NA
E9,NA,21.8,52.1,NA,425,NA,NA,NA,present,control,200,0.3769230769230769,0.07636363636363636,0.7192307692307692,0.7381818181818183,bras,regua,alcantarea_imperialis,0,NA
E10,NA,19.8,46.3,NA,650,NA,NA,NA,present,control,145,0.05597014925373147,0.23758865248226949,0.7238805970149254,0.723404255319149,bras,regua,alcantarea_imperialis,0,NA
E11,NA,22.2,44.8,NA,900,NA,NA,NA,present,control,220,0.2093862815884477,0.22758620689655162,0.7472924187725632,0.7137931034482758,bras,regua,alcantarea_imperialis,0,NA
E12,NA,16.4,47,NA,250,NA,NA,NA,present,control,130,0.1167883211678833,0.14041095890410965,0.7445255474452555,0.732876712328767,bras,regua,alcantarea_imperialis,0,NA
E13,NA,16.4,45.9,NA,250,NA,NA,NA,present,control,130,0.27636363636363637,0.3125,0.7127272727272728,0.7279411764705882,bras,regua,alcantarea_imperialis,0,NA
E14,NA,17.3,44.8,NA,275,NA,NA,NA,present,control,125,0.10830324909747285,0.1736111111111111,0.7111913357400722,0.7395833333333334,bras,regua,alcantarea_imperialis,0,NA
E15,NA,18.2,52.1,NA,350,NA,NA,NA,present,control,85,0.32258064516129037,0.3545816733067728,0.7096774193548387,0.7011952191235059,bras,regua,alcantarea_imperialis,0,NA
E16,NA,20.5,39.8,NA,275,NA,NA,NA,present,control,55,0.1372549019607842,0.29149797570850206,0.7215686274509804,0.7004048582995952,bras,regua,alcantarea_imperialis,0,NA
E17,NA,22.4,51,NA,250,NA,NA,NA,absent,enriched,165,0.17045454545454553,0.029304029304029332,0.7121212121212122,0.6996336996336997,bras,regua,alcantarea_imperialis,0,NA
E18,NA,19.4,63.5,NA,325,NA,NA,NA,absent,enriched,110,0.11808118081180806,0.09848484848484856,0.7158671586715867,0.7083333333333334,bras,regua,alcantarea_imperialis,0,NA
E19,NA,18.8,52.9,NA,300,NA,NA,NA,absent,enriched,96,0.4436619718309859,0.2014652014652014,0.7147887323943661,0.7216117216117216,bras,regua,alcantarea_imperialis,0,NA
E20,NA,16.3,41.6,NA,325,NA,NA,NA,absent,enriched,35,0.03383458646616552,0.05925925925925931,0.7030075187969925,0.6925925925925925,bras,regua,alcantarea_imperialis,0,NA
E21,NA,18.3,52.6,NA,300,NA,NA,NA,absent,enriched,210,0.12773722627737227,0.05904059040590411,0.6970802919708029,0.7011070110701106,bras,regua,alcantarea_imperialis,0,NA
E22,NA,18,50.3,NA,425,NA,NA,NA,absent,enriched,100,0.17037037037037034,0.09433962264150944,0.7111111111111111,0.6981132075471698,bras,regua,alcantarea_imperialis,0,NA
E23,NA,21.4,49.2,NA,425,NA,NA,NA,absent,enriched,195,0.14598540145985414,0.23396226415094346,0.7189781021897811,0.7245283018867924,bras,regua,alcantarea_imperialis,0,NA
E24,NA,21.2,40.6,NA,350,NA,NA,NA,absent,enriched,60,0.44649446494464945,0.40433212996389895,0.7306273062730627,0.7256317689530685,bras,regua,alcantarea_imperialis,0,NA
E25,NA,17.1,48.6,NA,350,NA,NA,NA,absent,control,215,0.15209125475285168,0.13991769547325114,0.7300380228136882,0.7037037037037037,bras,regua,alcantarea_imperialis,0,NA
E26,NA,16,53.2,NA,300,NA,NA,NA,absent,control,45,0.13114754098360648,0.18292682926829276,0.7131147540983607,0.7235772357723577,bras,regua,alcantarea_imperialis,0,NA
E27,NA,16.2,46.7,NA,400,NA,NA,NA,absent,control,110,0.08433734939759052,0.11023622047244104,0.7188755020080322,0.7125984251968505,bras,regua,alcantarea_imperialis,0,NA
E28,NA,16.3,60,NA,250,NA,NA,NA,absent,control,25,0.45098039215686275,0.30327868852459017,0.7215686274509804,0.7090163934426229,bras,regua,alcantarea_imperialis,0,NA
E29,NA,16.2,46.5,NA,425,NA,NA,NA,absent,control,140,0.5252525252525253,0.24913494809688588,0.7474747474747475,0.740484429065744,bras,regua,alcantarea_imperialis,0,NA
E30,NA,19,46.8,NA,750,NA,NA,NA,absent,control,120,0.1092150170648465,0.09407665505226481,0.7269624573378839,0.7212543554006969,bras,regua,alcantarea_imperialis,0,NA
E31,NA,20.1,48,NA,450,NA,NA,NA,absent,control,220,0.2832764505119454,0.24829931972789115,0.7474402730375428,0.7380952380952381,bras,regua,alcantarea_imperialis,0,NA
E32,NA,16.2,47.5,NA,325,NA,NA,NA,absent,control,110,0.12720848056537098,0.22569444444444442,0.7137809187279152,0.7291666666666665,bras,regua,alcantarea_imperialis,0,NA
E1,19/09/2022,22.4,78.4,200,340,9.073,NA,0.05399999999999938,absent,control,120,NA,NA,0.8580753138075314,0.8699949740325013,trini,las_lapas,guzmania_sp,NA,NA
B1,19/09/2022,32.9,63.2,150,100,6.787000000000001,0.19099999999999984,0.10099999999999998,NA,NA,NA,NA,NA,NA,NA,trini,las_lapas,vriesea_guzmania_sp,NA,NA
E2,19/09/2022,39.9,63,30,240,23.606,0.2599999999999998,NA,absent,control,30,NA,NA,0.853638184245661,NA,trini,las_lapas,vriesea_sp,NA,NA
E6,19/09/2022,40.5,60,180,200,7.257,0.29100000000000037,0.2060000000000004,absent,control,200,NA,NA,0.8574293832525489,0.8730665770006725,trini,las_lapas,guzmania_sp,NA,NA
E5,19/09/2022,38,46,100,200,13.878,1.5919999999999996,1.8500000000000005,absent,control,100,NA,NA,0.8542327600601102,0.8767860144562112,trini,las_lapas,other_sp,NA,NA
E4,19/09/2022,54,53,130,200,8.515,0.4170000000000007,NA,absent,control,40,NA,NA,0.8539475880487397,0.8695943680858197,trini,las_lapas,guzmania_sp,NA,NA
E3,19/09/2022,36,46,70,220,28.656000000000002,1.2650000000000006,0.9210000000000003,absent,control,100,NA,NA,0.8522784176264396,NA,trini,las_lapas,guzmania_sp,NA,NA
B7,19/09/2022,70,104,20,100,28.297000000000004,0.5359999999999996,0.5869999999999997,NA,NA,NA,NA,NA,NA,NA,trini,las_lapas,vriesea_guzmania_sp,NA,NA
C,19/09/2022,54,86.5,65,120,12.351,0.5420000000000007,0.54,NA,NA,NA,NA,NA,NA,NA,trini,las_lapas,vriesea_guzmania_sp,NA,NA
E7,19/09/2022,49.5,31,0,205,2.84,NA,NA,absent,control,50,NA,NA,0.8569046030687125,0.8761136325432846,trini,las_lapas,guzmania_sp,NA,NA
D,19/09/2022,30,55.9,0,20,9.945,0.19500000000000028,0.04100000000000037,NA,NA,NA,NA,NA,NA,NA,trini,las_lapas,vriesea_guzmania_sp,NA,NA
F,19/09/2022,41,61,NA,60,8.963,0.5919999999999996,0.1949999999999994,NA,NA,NA,NA,NA,NA,NA,trini,las_lapas,vriesea_guzmania_sp,NA,NA
E10,20/09/2022,15,73,140,210,11.579,1.1950000000000003,0.577,absent,control,100,NA,NA,0.8591997321279089,0.8733176312247645,trini,morne_bleu,guzmania_sp,NA,NA
B11,20/09/2022,32,86,60,100,13.196,0.09299999999999997,0.5820000000000007,NA,NA,NA,NA,NA,NA,NA,trini,morne_bleu,vriesea_guzmania_sp,NA,NA
B12,20/09/2022,16,84,30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,morne_bleu,vriesea_guzmania_sp,NA,NA
E8,20/09/2022,24,70,150,200,9.356,0.9279999999999999,0.2709999999999999,absent,control,40,NA,NA,0.8660190922793503,0.879051119278316,trini,morne_bleu,vriesea_sp,NA,NA
B14,20/09/2022,10.8,103,150,100,4.096,0.43299999999999983,0.5680000000000005,NA,NA,NA,NA,NA,NA,NA,trini,morne_bleu,vriesea_guzmania_sp,NA,NA
B15,20/09/2022,23,98,90,110,7.023,0.7189999999999994,0.7540000000000004,NA,NA,NA,NA,NA,NA,NA,trini,morne_bleu,vriesea_guzmania_sp,NA,NA
E24,20/09/2022,18,83,100,160,6.948,0.1120000000000001,NA,absent,enriched,60,NA,NA,0.8620356037151703,0.8816145229818462,trini,morne_bleu,vriesea_sp,NA,NA
E9,20/09/2022,18,108,80,202,14.71,1.577,0.6610000000000005,absent,control,30,NA,NA,0.8599163179916318,NA,trini,morne_bleu,vriesea_sp,NA,NA
B18,20/09/2022,24,34,150,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,morne_bleu,vriesea_guzmania_sp,NA,NA
E12,21/09/2022,16,45.5,120,220,0.45399999999999974,NA,NA,absent,control,70,NA,NA,0.8691588785046729,0.8782318598832362,trini,arima_valley,guzmania_sp,NA,NA
B21,21/09/2022,15,49.5,70,120,0.9530000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,vriesea_guzmania_sp,NA,NA
B22,21/09/2022,NA,NA,520,NA,17.398000000000003,0.7349999999999994,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,aechmea_sp,NA,NA
B22_a,21/09/2022,NA,29,109,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,aechmea_sp,NA,NA
B22_b,21/09/2022,NA,23,56,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,aechmea_sp,NA,NA
B22_c,21/09/2022,NA,27,109,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,aechmea_sp,NA,NA
B23,21/09/2022,18.5,98.9,180,650,2.3040000000000003,0.12900000000000045,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,tillandsia_sp,NA,NA
B24,21/09/2022,17,49,20,NA,5.128,0.27699999999999925,0.14400000000000013,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,vriesea_guzmania_sp,NA,NA
B25,21/09/2022,17,75,50,75,1.209999999999999,0.051000000000000156,0.09199999999999964,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,vriesea_guzmania_sp,NA,NA
B26,21/09/2022,16,67,60,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,vriesea_guzmania_sp,NA,NA
B27,21/09/2022,12.5,47,20,100,1.0830000000000002,0,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,vriesea_guzmania_sp,NA,NA
B28,21/09/2022,16,28.5,0,80,0.016000000000000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,vriesea_guzmania_sp,NA,NA
B29,21/09/2022,20,47.5,10,250,0.8850000000000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,trini,arima_valley,tillandsia_sp,NA,NA
E11,22/09/2022,9.4,50.7,0,140,2.5599999999999996,0.31099999999999994,0.08499999999999996,absent,control,50,NA,NA,0.8624082721814543,0.8945253641386238,trini,marianne_river,guzmania_sp,NA,NA
E19,22/09/2022,10.2,75.9,NA,140,2.110999999999999,0.1800000000000006,0.03500000000000014,absent,enriched,70,NA,NA,0.8583574879227054,0.8815331010452961,trini,marianne_river,guzmania_sp,NA,NA
